Column,Missing_Count,Missing_Percentage
stay_id,0,0
mv_id,0,0
timepoints,0,0
age,0,0
blood_be,51758,7.537404505
blood_hco3,1561,0.227325021
blood_ph,16552,2.410431612
drugs_vaso4h,0,0
vital_map,417,0.060726799
vital_mpap,609821,88.80690043
vital_DBP,162494,23.66364635
vital_SBP,162943,23.72903324
vital_SVRI,655292,95.42874285
blood_INR,23971,3.490844379
blood_PTT,23988,3.493320052
daemo_sex,0,0
daemo_weight,0,0
daemo_height,0,0
daemo_discharge,0,0
ecmo_bloodflow,679049,98.88842288
ecmo_rpm,678955,98.87473387
ecmo_sweep,686257,99.93810818
ecmo_active,0,0
blood_calcium,679875,99.00871146
blood_chlorid,1232,0.179413469
blood_caion,84316,12.27875494
blood_magnes,3916,0.570278528
blood_potas,937,0.136453264
blood_sodium,1019,0.148394745
vital_cvp,434084,63.21470491
cum_fluid_balance,0,0
state_ivfluid4h,0,0
vent_etco2,439145,63.95172729
blood_paco2,51714,7.530996881
blood_pao2,51665,7.523861118
vent_fio2,331,0.048202807
vital_spo2,642,0.093493058
blood_sao2,300510,43.76261501
blood_svo2,624496,90.94398863
blood_sco2,682287,99.35996575
blood_smvo2,549582,80.03442642
blood_plat,1319,0.192083089
blood_hb,1265,0.184219187
blood_hct,1199,0.174607751
blood_wbc,5046,0.73483796
vital_co,686682,100
vital_hr,262,0.038154488
state_bun,548457,79.87059512
blood_crea,686416,99.961263
state_urin4h,0,0
blood_album,685512,99.82961546
blood_ast,192076,27.9716084
blood_alt,180580,26.29747103
blood_billi,602414,87.72823519
blood_lac,54034,7.868853414
blood_gluco,679892,99.01118713
state_temp,9288,1.352591156
vent_inspexp,6731,0.98022083
vent_pinsp,778,0.113298441
vent_mairpress,653,0.095094964
vent_mv,616,0.089706735
vent_peep,613,0.089269851
vent_rsbi,686682,100
vent_rrtot,267,0.038882627
vent_rrcontrolled,7405,1.078373978
vent_rrspont,536,0.078056509
vent_suppress,33180,4.831930937
vent_vt,614,0.089415479
vent_vtnorm,614,0.089415479
vent_mode,2380,0.346594202
state_airtype,10408,1.51569431
blood_ffp,686682,100
blood_prbc,686682,100
daemo_morta,0,0
episode_id,0,0
