episode_id,n_timesteps
0,5
1,21
2,14
3,10
4,18
5,490
6,76
7,73
8,52
9,75
10,13
11,42
12,303
13,4
14,9
15,7
16,6
17,8
18,164
19,11
20,3
21,37
22,32
23,9
24,10
25,185
26,27
27,49
28,241
29,178
30,18
31,2
32,1
33,6
34,1
35,1
36,16
37,16
38,56
39,64
40,2
41,6
42,2
43,3
44,34
45,73
46,136
47,63
48,14
49,4
50,85
51,4
52,131
53,3
54,98
55,73
56,20
57,29
58,100
59,9
60,24
61,9
62,14
63,8
64,6
65,26
66,8
67,1542
68,23
69,32
70,23
71,37
72,201
73,24
74,33
75,12
76,251
77,14
78,71
79,52
80,36
81,29
82,7
83,4
84,12
85,8
86,262
87,52
88,4
89,21
90,4
91,5
92,15
93,6
94,141
95,31
96,6
97,7
98,49
99,17
100,74
101,31
102,98
103,65
104,23
105,45
106,10
107,16
108,1
109,8
110,3
111,1
112,3
113,16
114,23
115,7
116,84
117,3
118,1
119,6
120,106
121,51
122,55
123,128
124,20
125,5
126,151
127,56
128,6
129,5
130,118
131,19
132,1
133,42
134,220
135,101
136,13
137,35
138,11
139,6
140,5
141,5
142,9
143,8
144,207
145,54
146,22
147,6
148,102
149,4
150,2
151,45
152,8
153,71
154,75
155,20
156,12
157,2
158,7
159,1
160,28
161,95
162,228
163,1
164,25
165,8
166,10
167,173
168,40
169,5
170,4
171,23
172,12
173,5
174,14
175,5
176,4
177,35
178,27
179,1
180,48
181,32
182,1
183,33
184,4
185,43
186,54
187,45
188,76
189,29
190,53
191,18
192,2
193,3
194,41
195,28
196,39
197,10
198,4
199,19
200,52
201,7
202,7
203,14
204,22
205,2
206,2
207,17
208,1
209,7
210,15
211,1384
212,68
213,147
214,13
215,323
216,65
217,134
218,7
219,10
220,49
221,3
222,4
223,10
224,8
225,41
226,49
227,1
228,54
229,25
230,4
231,6
232,5
233,5
234,122
235,169
236,50
237,84
238,5
239,3
240,35
241,2
242,276
243,7
244,4
245,144
246,307
247,25
248,18
249,47
250,148
251,52
252,155
253,1
254,29
255,267
256,7
257,5
258,164
259,168
260,2
261,5
262,2
263,8
264,2
265,17
266,10
267,39
268,20
269,2
270,1
271,4
272,66
273,6
274,104
275,26
276,10
277,1
278,137
279,100
280,60
281,4
282,85
283,3
284,7
285,5
286,45
287,83
288,2
289,4
290,84
291,3
292,2
293,279
294,3
295,114
296,7
297,3
298,118
299,218
300,65
301,126
302,2
303,1
304,55
305,1
306,19
307,126
308,21
309,24
310,145
311,4
312,245
313,3
314,3
315,84
316,63
317,2
318,24
319,39
320,7
321,2
322,3
323,33
324,9
325,91
326,207
327,18
328,69
329,119
330,59
331,36
332,88
333,3
334,8
335,8
336,1
337,6
338,267
339,220
340,11
341,33
342,55
343,146
344,13
345,24
346,10
347,115
348,138
349,8
350,25
351,27
352,21
353,8
354,1
355,146
356,3
357,26
358,7
359,5
360,283
361,22
362,3
363,279
364,2
365,366
366,79
367,48
368,3
369,10
370,3
371,11
372,263
373,1
374,20
375,3
376,87
377,3
378,52
379,6
380,96
381,101
382,4
383,4
384,6
385,5
386,6
387,103
388,3
389,13
390,1
391,1
392,65
393,5
394,3
395,58
396,1
397,10
398,2
399,10
400,169
401,5
402,75
403,23
404,33
405,3
406,12
407,56
408,6
409,128
410,130
411,8
412,30
413,2
414,46
415,13
416,33
417,60
418,3
419,3
420,1
421,6
422,20
423,9
424,14
425,1
426,11
427,8
428,15
429,77
430,7
431,141
432,93
433,13
434,4
435,32
436,13
437,4
438,6
439,215
440,74
441,148
442,34
443,99
444,1
445,39
446,355
447,47
448,16
449,28
450,4
451,9
452,20
453,15
454,29
455,73
456,32
457,3
458,3
459,29
460,424
461,19
462,1
463,5
464,79
465,307
466,7
467,4
468,3
469,6
470,14
471,140
472,7
473,30
474,176
475,32
476,37
477,25
478,30
479,12
480,6
481,7
482,128
483,10
484,44
485,87
486,18
487,172
488,7
489,30
490,2
491,2
492,1
493,215
494,9
495,3
496,50
497,30
498,6
499,40
500,21
501,285
502,6
503,26
504,357
505,11
506,369
507,1
508,195
509,3
510,28
511,9
512,43
513,98
514,6
515,165
516,3
517,138
518,8
519,29
520,230
521,56
522,140
523,17
524,31
525,35
526,9
527,24
528,82
529,131
530,13
531,8
532,117
533,25
534,27
535,19
536,33
537,2
538,5
539,1
540,61
541,10
542,225
543,25
544,9
545,15
546,61
547,8
548,33
549,2
550,7
551,4
552,2
553,35
554,41
555,374
556,91
557,3
558,2
559,2
560,143
561,258
562,36
563,16
564,3
565,1
566,44
567,32
568,12
569,13
570,503
571,91
572,7
573,34
574,11
575,4
576,1
577,3
578,2
579,175
580,90
581,93
582,4
583,4
584,170
585,1
586,51
587,30
588,22
589,7
590,2
591,66
592,2
593,27
594,240
595,6
596,2
597,37
598,160
599,28
600,45
601,8
602,62
603,1
604,8
605,293
606,46
607,33
608,10
609,4
610,11
611,2
612,2
613,13
614,57
615,21
616,51
617,2
618,10
619,54
620,291
621,16
622,1
623,14
624,12
625,6
626,186
627,2
628,15
629,357
630,6
631,28
632,1
633,55
634,1
635,2
636,2
637,91
638,6
639,3
640,6
641,24
642,10
643,17
644,32
645,6
646,4
647,3
648,9
649,36
650,1
651,5
652,7
653,7
654,45
655,148
656,13
657,56
658,1
659,117
660,48
661,63
662,3
663,6
664,23
665,1
666,139
667,21
668,104
669,3
670,2
671,103
672,30
673,157
674,1
675,9
676,1
677,11
678,3
679,6
680,1
681,1
682,193
683,5
684,76
685,36
686,46
687,1
688,11
689,117
690,2
691,16
692,7
693,22
694,1
695,5
696,15
697,93
698,2
699,27
700,94
701,242
702,12
703,5
704,50
705,88
706,4
707,24
708,105
709,1
710,12
711,201
712,1
713,4
714,14
715,2
716,56
717,9
718,28
719,4
720,171
721,140
722,31
723,4
724,16
725,80
726,229
727,4
728,24
729,27
730,3
731,316
732,171
733,5
734,7
735,117
736,29
737,436
738,46
739,131
740,1
741,1
742,55
743,7
744,36
745,21
746,2
747,4
748,6
749,1
750,84
751,105
752,1
753,2
754,3
755,6
756,7
757,2
758,419
759,40
760,54
761,4
762,2
763,174
764,11
765,8
766,48
767,2
768,14
769,32
770,62
771,17
772,3
773,24
774,265
775,85
776,20
777,3
778,148
779,9
780,51
781,174
782,155
783,313
784,38
785,132
786,23
787,3
788,23
789,15
790,6
791,11
792,11
793,2
794,33
795,149
796,3
797,10
798,302
799,15
800,10
801,78
802,33
803,10
804,149
805,2
806,4
807,7
808,86
809,19
810,46
811,100
812,26
813,25
814,2
815,7
816,14
817,59
818,83
819,2
820,14
821,38
822,1
823,2
824,7
825,126
826,19
827,30
828,3
829,6
830,52
831,21
832,10
833,2
834,5
835,3
836,2
837,64
838,26
839,11
840,2
841,5
842,3
843,82
844,9
845,3
846,67
847,222
848,29
849,24
850,12
851,58
852,231
853,49
854,40
855,1
856,43
857,6
858,277
859,74
860,1
861,189
862,23
863,7
864,1
865,34
866,101
867,1
868,100
869,1
870,6
871,3
872,1
873,1
874,5
875,14
876,47
877,284
878,48
879,1
880,1
881,12
882,58
883,69
884,8
885,1
886,58
887,125
888,6
889,8
890,2
891,152
892,1
893,3
894,2
895,58
896,20
897,15
898,120
899,15
900,8
901,6
902,42
903,1
904,7
905,3
906,1
907,5
908,5
909,5
910,2
911,33
912,31
913,2
914,136
915,6
916,429
917,45
918,38
919,6
920,35
921,41
922,2
923,85
924,3
925,2
926,20
927,327
928,4
929,24
930,2
931,114
932,129
933,10
934,31
935,26
936,2
937,4
938,3
939,47
940,4
941,11
942,57
943,2
944,1
945,8
946,6
947,12
948,10
949,11
950,114
951,228
952,58
953,251
954,12
955,9
956,17
957,28
958,5
959,140
960,13
961,14
962,4
963,96
964,1
965,25
966,8
967,79
968,19
969,29
970,7
971,14
972,46
973,3
974,5
975,263
976,69
977,33
978,84
979,74
980,23
981,8
982,24
983,235
984,12
985,27
986,27
987,5
988,13
989,35
990,12
991,76
992,10
993,1
994,112
995,41
996,72
997,7
998,3
999,93
1000,160
1001,206
1002,200
1003,81
1004,51
1005,2
1006,1
1007,2
1008,686
1009,2
1010,3
1011,29
1012,320
1013,2
1014,30
1015,2
1016,6
1017,201
1018,12
1019,4
1020,13
1021,7
1022,21
1023,126
1024,13
1025,24
1026,4
1027,30
1028,1
1029,20
1030,26
1031,106
1032,17
1033,32
1034,6
1035,11
1036,49
1037,23
1038,2
1039,3
1040,2
1041,21
1042,2
1043,168
1044,145
1045,2
1046,27
1047,6
1048,31
1049,50
1050,2
1051,51
1052,44
1053,2
1054,12
1055,203
1056,200
1057,7
1058,91
1059,44
1060,102
1061,35
1062,32
1063,2
1064,4
1065,27
1066,12
1067,99
1068,4
1069,1
1070,60
1071,22
1072,6
1073,5
1074,59
1075,3
1076,16
1077,17
1078,7
1079,6
1080,1287
1081,29
1082,1
1083,294
1084,37
1085,28
1086,56
1087,3
1088,102
1089,269
1090,46
1091,1
1092,1
1093,49
1094,168
1095,1
1096,277
1097,23
1098,1
1099,9
1100,31
1101,31
1102,5
1103,1
1104,4
1105,3
1106,9
1107,52
1108,7
1109,9
1110,89
1111,247
1112,1
1113,57
1114,6
1115,7
1116,57
1117,163
1118,122
1119,177
1120,9
1121,17
1122,12
1123,6
1124,85
1125,172
1126,22
1127,1
1128,17
1129,196
1130,2
1131,78
1132,2
1133,4
1134,51
1135,9
1136,70
1137,1
1138,567
1139,43
1140,37
1141,230
1142,13
1143,95
1144,2
1145,6
1146,7
1147,3
1148,7
1149,5
1150,256
